,Reaction,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,Substrates,Substrate Name,Substrate SMILE
979,DHQTi,rxn02213,MNXR55233,,4.2.1.10,['3dhq[c]'],['3-Dehydroquinate'],['C1C(C(C(=O)CC1(C(=O)[O-])O)O)O']
980,DIGOXIN_GLC_GLCAASE,,,,,"['digoxin_glc[c]', 'h2o[c]']","['Digoxin 16-Glucuronide', 'Water']","[None, 'O']"
981,DIGOXIN_GLCt2pp,,,,,"['digoxin_glc[p]', 'h[p]']","['Digoxin 16-Glucuronide', 'proton']","[None, '[H+]']"
982,DIGOXIN_GLCtex,,,,,['digoxin_glc[e]'],['Digoxin 16-Glucuronide'],[None]
983,DIGOXINtepp,,,,,['digoxin[c]'],['Digoxin'],['CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O']
984,DIGOXINtex,,,,,['digoxin[e]'],['Digoxin'],['CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O']
985,DINSt2pp,,,,,"['din[p]', 'h[p]']","['Deoxyinosine', 'proton']","['C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O', '[H+]']"
986,DINtex,,,,,['din[e]'],['Deoxyinosine'],['C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O']
987,DKDID,rxn03931,MNXR87216,,,"['dkdi[c]', 'h2o[c]']","['D-2,3-Diketo 4-deoxy-epi-inositol', 'Water']","['C1=C(C(=O)C(C(C1O)O)O)O', 'O']"
988,DKDID2,rxn12147,MNXR75503,,3.7.1.22,"['dkdi[c]', 'h2o[c]']","['D-2,3-Diketo 4-deoxy-epi-inositol', 'Water']","['C1=C(C(=O)C(C(C1O)O)O)O', 'O']"
989,DLB_GLC_GLCAASE,,,,,"['dlb_glc[c]', 'h2o[c]']","['Deleobuvir Glucuronide', 'Water']","[None, 'O']"
990,DLB_GLCt2pp,,,,,"['dlb_glc[p]', 'h[p]']","['Deleobuvir Glucuronide', 'proton']","[None, '[H+]']"
991,DLB_GLCtex,,,,,['dlb_glc[e]'],['Deleobuvir Glucuronide'],[None]
992,DLBtepp,,,,,['dlb[c]'],['Deleobuvir'],['CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)C=CC(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7']
993,DLBtex,,,,,['dlb[e]'],['Deleobuvir'],['CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)C=CC(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7']
994,DMADPMAT,rxn02693,,,,"['aspvne[c]', 'dmpp[c]']","['Aspulvinone E', 'Dimethylallyl diphosphate']","['C1=CC(=CC=C1C=C2C(=C(C(=O)O2)C3=CC=C(C=C3)O)O)O', 'CC(=CCOP(=O)(O)OP(=O)(O)O)C']"
995,DMATT,rxn01213,MNXR97512,R01658,2.5.1.1,"['dmpp[c]', 'ipdp[c]']","['Dimethylallyl diphosphate', 'Isopentenyl diphosphate']","['CC(=CCOP(=O)(O)OP(=O)(O)O)C', 'CC(=C)CCOP(=O)(O)OP(=O)(O)O']"
996,DMAt2rpp,,,,,"['dma[p]', 'h[p]']","['Dimethylamine', 'proton']","['CNC', '[H+]']"
997,DMAtex,,,,,['dma[e]'],['Dimethylamine'],['CNC']
998,DMMPL,rxn00987,,,,['23dmthmlt[c]'],"['2,3-Dimethylmalate']",['CC(C(=O)[O-])C(C)(C(=O)[O-])O']
999,DMPPS,rxn08352,MNXR68731,,1.17.1.2,"['h2mb4p[c]', 'h[c]', 'nadh[c]']","['1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO', '[H+]', None]"
1000,DMPPS2r,rxn04996,MNXR71767,,1.17.1.2,"['h2mb4p[c]', 'h[c]', 'nadph[c]']","['1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1001,DMQMT,rxn08353,MNXR1632,,2.1.1.64,"['2omhmbl[c]', 'amet[c]']","['2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol', 'S-Adenosyl-L-methionine']","['CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C', 'C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O']"
1002,DMQMT2,rxn06942,MNXR85363,,2.1.1.64,"['amet[c]', 'ocmhmxbq[c]']","['S-Adenosyl-L-methionine', '2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', 'CC1=C(C(=O)C(=C(C1=O)O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C']"
1003,DMSOR1,rxn08354,MNXR26703,,1.8.5.3,"['dmso[c]', 'mql8[c]']","['Dimethyl sulfoxide', 'Menaquinol 8']","['CS(=O)C', 'CC1=C(C2=CC=CC=C2C(=C1CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O)O']"
1004,DMSOR2,rxn08356,MNXR26772,,1.8.5.3,"['2dmmql8[c]', 'dmso[c]']","['2-Demethylmenaquinol 8', 'Dimethyl sulfoxide']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C)C)C)C)C)C)C', 'CS(=O)C']"
1005,DMSORdmqpp,,,,,"['2dmmql8[c]', 'dmso[p]']","['2-Demethylmenaquinol 8', 'Dimethyl sulfoxide']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C)C)C)C)C)C)C', 'CS(=O)C']"
1006,DMSORmqpp,,,,,"['dmso[p]', 'mql8[c]']","['Dimethyl sulfoxide', 'Menaquinol 8']","['CS(=O)C', 'CC1=C(C2=CC=CC=C2C(=C1CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O)O']"
1007,DMSOtex,rxn08358,,,,['dmso[e]'],['Dimethyl sulfoxide'],['CS(=O)C']
1008,DMStex,rxn08359,,,,['dms[e]'],['Dimethyl sulfide'],['CSC']
1009,DM_4HBA,,,,,['4hba[c]'],['4-Hydroxy-benzyl alcohol'],['C1=CC(=CC=C1CO)O']
1010,DM_5DRIB,,,,,['5drib[c]'],['5-deoxyribose'],['CC(C(C(C=O)O)O)O']
1011,DM_5MTR,,,,,['5mtr[c]'],['5-Methylthio-D-ribose'],['CSCC1C(C(C(O1)O)O)O']
1012,DM_AMOB,,,,,['amob[c]'],['S-Adenosyl-4-methylthio-2-oxobutanoate'],['C[S+](CCC(=O)C(=O)O)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O']
1013,DM_GCALD,,,,,['gcald[c]'],['glycolaldehyde'],['C(C=O)O']
1014,DM_HQN,,,,,['hqn[c]'],['Hydroquinone'],['C1=CC(=CC=C1O)O']
1015,DM_NA1,,,,,['na1[c]'],['Sodium'],['[Na]']
1016,DM_atp_c_,rxn00062,MNXR892,,,"['atp[c]', 'h2o[c]']","['ATP', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
1017,DM_btn,,,,,['btn[c]'],['Biotin'],['C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2']
1018,DM_dad_5,,,,,['dad_5[c]'],['5-Deoxyadenosine'],[None]
1019,DM_dhptd(c),,,,,['dhptd[c]'],"['4,5-dihydroxy-2,3-pentanedione']",['CC(=O)C(=O)C(CO)O']
1020,DM_glyb_c_,,,,,['glyb[c]'],['glycine betaine'],['C[N+](C)(C)CC(=O)[O-]']
1021,DM_kdo2lipid4L(c),,,,,['kdo2lipid4L[c]'],['KDO(2)-lipid IV(A) with laurate'],[None]
1022,DM_this[c],,,,,['this[c]'],['[ThiS protein]'],[None]
1023,DNMPPA,rxn03168,MNXR1716,,3.6.1.-,"['dhpmp[c]', 'h2o[c]']","['Dihydroneopterin monophosphate', 'Water']","[None, 'O']"
1024,DNPZ_5DEStepp,,,,,['dnpz_5des[c]'],['5-O-Desmethyl Donepezil'],['COC1=C(C=C2CC(C(=O)C2=C1)CC3CCN(CC3)CC4=CC=CC=C4)O']
1025,DNPZ_5DEStex,,,,,['dnpz_5des[e]'],['5-O-Desmethyl Donepezil'],['COC1=C(C=C2CC(C(=O)C2=C1)CC3CCN(CC3)CC4=CC=CC=C4)O']
1026,DNPZ_6DEStepp,,,,,['dnpz_6des[c]'],['6-O-Desmethyldonepezil'],['COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)O']
1027,DNPZ_6DEStex,,,,,['dnpz_6des[e]'],['6-O-Desmethyldonepezil'],['COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)O']
1028,DNPZ_M11_GLCAASE,,,,,"['dnpz_m11[c]', 'h2o[c]']","['Donepezil Metabolite M11', 'Water']","[None, 'O']"
1029,DNPZ_M11t2pp,,,,,"['dnpz_m11[p]', 'h[p]']","['Donepezil Metabolite M11', 'proton']","[None, '[H+]']"
1030,DNPZ_M11tex,,,,,['dnpz_m11[e]'],['Donepezil Metabolite M11'],[None]
1031,DNPZ_M12_GLCAASE,,,,,"['dnpz_m12[c]', 'h2o[c]']","['Donepezil Metabolite M12', 'Water']","[None, 'O']"
1032,DNPZ_M12t2pp,,,,,"['dnpz_m12[p]', 'h[p]']","['Donepezil Metabolite M12', 'proton']","[None, '[H+]']"
1033,DNPZ_M12tex,,,,,['dnpz_m12[e]'],['Donepezil Metabolite M12'],[None]
1034,DNPZ_M13_GLCAASE,,,,,"['dnpz_m13[c]', 'h2o[c]']","['Donepezil Metabolite M13', 'Water']","[None, 'O']"
1035,DNPZ_M13t2pp,,,,,"['dnpz_m13[p]', 'h[p]']","['Donepezil Metabolite M13', 'proton']","[None, '[H+]']"
1036,DNPZ_M13tex,,,,,['dnpz_m13[e]'],['Donepezil Metabolite M13'],[None]
1037,DNPZ_M14_GLCAASE,,,,,"['dnpz_m14[c]', 'h2o[c]']","['Donepezil Metabolite M14', 'Water']","[None, 'O']"
1038,DNPZ_M14t2pp,,,,,"['dnpz_m14[p]', 'h[p]']","['Donepezil Metabolite M14', 'proton']","[None, '[H+]']"
1039,DNPZ_M14tex,,,,,['dnpz_m14[e]'],['Donepezil Metabolite M14'],[None]
1040,DNPZ_M9tepp,,,,,['dnpz_m9[c]'],['Donepezil Metabolite M9'],[None]
1041,DNPZ_M9tex,,,,,['dnpz_m9[e]'],['Donepezil Metabolite M9'],[None]
1042,DNTPPA,rxn03173,MNXR1717,,3.6.1.-,"['ahdt[c]', 'h2o[c]']","['7,8-dihydroneopterin 3-triphosphate(4-)', 'Water']","[None, 'O']"
1043,DOCTNKI,rxn02907,,,,['11docrtstrn[c]'],['11-deoxycorticosterone'],['CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C']
1044,DOFCAH,rxn11749,,,,"['do5fctdn[c]', 'h2o[c]', 'h[c]']","['5-Deoxy-5-fluorocytidine', 'Water', 'proton']","[None, 'O', '[H+]']"
1045,DOGDH,rxn02842,,,,"['2dglcn[c]', 'nad[c]']","['2-Deoxy-D-gluconate', 'Nicotinamide adenine dinucleotide']","['C(C(C(C(CO)O)O)O)C(=O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
1046,DOGULNR,rxn01911,MNXR1722,,1.1.1.-,"['23doguln[c]', 'h[c]', 'nadh[c]']","['(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['C(C(C(C(=O)C(=O)C(=O)[O-])O)O)O', '[H+]', None]"
1047,DOH_ETR_GLC_GLCAASE,,,,,"['doh_etr_glc[c]', 'h2o[c]']","['Etravarine Dihydroxylated Glucuronide', 'Water']","[None, 'O']"
1048,DOH_ETR_GLCt2pp,,,,,"['doh_etr_glc[p]', 'h[p]']","['Etravarine Dihydroxylated Glucuronide', 'proton']","[None, '[H+]']"
1049,DOH_ETR_GLCtex,,,,,['doh_etr_glc[e]'],['Etravarine Dihydroxylated Glucuronide'],[None]
1050,DOH_ETRtepp,,,,,['doh_etr[c]'],"['Etravarine Dihydroxylated (M4, M5, M6)']",[None]
1051,DOH_ETRtex,,,,,['doh_etr[e]'],"['Etravarine Dihydroxylated (M4, M5, M6)']",[None]
1052,DOH_VCZ_GLC_GLCAASE,,,,,"['doh_vcz_glc[c]', 'h2o[c]']","['Dihydroxyvoriconazole Glucuronide', 'Water']","[None, 'O']"
1053,DOH_VCZ_GLCt2pp,,,,,"['doh_vcz_glc[p]', 'h[p]']","['Dihydroxyvoriconazole Glucuronide', 'proton']","[None, '[H+]']"
1054,DOH_VCZ_GLCtex,,,,,['doh_vcz_glc[e]'],['Dihydroxyvoriconazole Glucuronide'],[None]
1055,DOH_VCZtepp,,,,,['doh_vcz[c]'],['Dihydroxyvoriconazole'],[None]
1056,DOH_VCZtex,,,,,['doh_vcz[e]'],['Dihydroxyvoriconazole'],[None]
1057,DPCOAK,rxn00100,MNXR97762,R00130,2.7.1.24,"['atp[c]', 'dpcoa[c]']","['ATP', 'Dephospho-CoA']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O']"
1058,DPGM,rxn01216,MNXR97765,,,['13dpg[c]'],['3-Phospho-D-glyceroyl phosphate'],['C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O']
1059,DPMVDc,rxn00829,MNXR68753,,,"['5dpmev[c]', 'atp[c]']","['(R)-5-Diphosphomevalonate', 'ATP']","['CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
1060,DPR,,,,1.1.1.169,"['2dhp[c]', 'h[c]', 'nadph[c]']","['2-Dehydropantoate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(C)(CO)C(=O)C(=O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1061,DRBK,rxn01987,MNXR97781,R02750,2.7.1.15,"['atp[c]', 'drib[c]']","['ATP', '2-deoxy-D-ribose']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C=O)C(C(CO)O)O']"
1062,DRIBI,rxn00798,MNXR71594,,,['rib_D[c]'],['D-ribose'],['C1C(C(C(C(O1)O)O)O)O']
1063,DRIBabcpp,,,,,"['atp[c]', 'drib[p]', 'h2o[c]']","['ATP', '2-deoxy-D-ribose', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C=O)C(C(CO)O)O', 'O']"
1064,DRIBtex,,,,,['drib[e]'],['2-deoxy-D-ribose'],['C(C=O)C(C(CO)O)O']
1065,DRPAr,rxn00784,MNXR50871,,4.1.2.4,['2dr5p[c]'],['2-deoxy-D-ribose 5-phosphate(2-)'],['C(C=O)C(C(COP(=O)([O-])[O-])O)O']
1066,DSERt2rpp,,,,,"['h[p]', 'ser_D[p]']","['proton', 'D-serine']","['[H+]', 'C(C(C(=O)O)N)O']"
1067,DTMPK,rxn01513,MNXR97804,R02094,"2.7.4.12, 2.7.4.13, 2.7.4.9","['atp[c]', 'dtmp[c]']","['ATP', 'dTMP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O']"
1068,DURIK1,rxn01518,MNXR97817,R02099,"2.7.1.145, 2.7.1.21","['atp[c]', 'duri[c]']","['ATP', 'Deoxyuridine']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=CC(=O)NC2=O)CO)O']"
1069,DURIPP,rxn01799,MNXR97818,R02484,"2.4.2.1, 2.4.2.2, 2.4.2.3, 2.4.2.4","['duri[c]', 'pi[c]']","['Deoxyuridine', 'hydrogenphosphate']","['C1C(C(OC1N2C=CC(=O)NC2=O)CO)O', 'OP(=O)([O-])[O-]']"
1070,DURIt2pp,,,,,"['duri[p]', 'h[p]']","['Deoxyuridine', 'proton']","['C1C(C(OC1N2C=CC(=O)NC2=O)CO)O', '[H+]']"
1071,DURItex,,,,,['duri[e]'],['Deoxyuridine'],['C1C(C(OC1N2C=CC(=O)NC2=O)CO)O']
1072,DUTPDP,rxn01519,MNXR97822,R02100,"3.6.1.-, 3.6.1.23, 3.6.1.9","['dutp[c]', 'h2o[c]']","['dUTP', 'Water']","['C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O', 'O']"
1073,DXO_GLC_GLCAASE,,,,,"['dxo_glc[c]', 'h2o[c]']","['Dextrorphan O-Glucuronide', 'Water']","['CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC5C(C(C(C(O5)C(=O)O)O)O)O', 'O']"
1074,DXO_GLCt2pp,,,,,"['dxo_glc[p]', 'h[p]']","['Dextrorphan O-Glucuronide', 'proton']","['CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC5C(C(C(C(O5)C(=O)O)O)O)O', '[H+]']"
1075,DXO_GLCtex,,,,,['dxo_glc[e]'],['Dextrorphan O-Glucuronide'],['CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC5C(C(C(C(O5)C(=O)O)O)O)O']
1076,DXOtepp,,,,,['dxo[c]'],['Dextrorphan'],['CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O']
1077,DXOtex,,,,,['dxo[e]'],['Dextrorphan'],['CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O']
1078,DXPRIr,rxn03958,MNXR1818,,1.1.1.267,"['dxyl5p[c]', 'h[c]', 'nadph[c]']","['1-deoxy-D-xylulose 5-phosphate', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","['CC(=O)C(C(COP(=O)(O)O)O)O', '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1079,DXPS,rxn03909,MNXR55306,,4.1.3.37,"['g3p[c]', 'h[c]', 'pyr[c]']","['Glyceraldehyde 3-phosphate', 'proton', 'Pyruvate']","['C(C(C=O)O)OP(=O)(O)O', '[H+]', 'CC(=O)C(=O)[O-]']"
1080,DXYTST,,,,,"['dxyl5p[c]', 'imogly[c]', 'thissh[c]']","['1-deoxy-D-xylulose 5-phosphate', 'Iminoglycine', 'Thiocarboxy-[ThiS protein]']","['CC(=O)C(C(COP(=O)(O)O)O)O', 'C(=N)C(=O)O', None]"
1081,D_LACD,rxn00146,MNXR68632,,"1.1.2.4,1.1.2.5","['ficytC[c]', 'lac_D[c]']","['Ferricytochrome c', 'D-lactate']","[None, 'CC(C(=O)O)O']"
1082,D_LACt2pp,,,,,"['h[p]', 'lac_D[p]']","['proton', 'D-lactate']","['[H+]', 'CC(C(=O)O)O']"
1083,E4PD,rxn01331,MNXR1822,,1.2.1.72,"['e4p[c]', 'h2o[c]', 'nad[c]']","['D-Erythrose 4-phosphate', 'Water', 'Nicotinamide adenine dinucleotide']","['C(C(C(C=O)O)O)OP(=O)(O)O', 'O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
1084,EACPR1,,,,,"['egACPm[c]', 'h[c]', 'nadph[c]']","['Enoylglutaryl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1085,EACPR2,,,,,"['epACPm[c]', 'h[c]', 'nadph[c]']","['Enoylpimeloyl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
1086,EAR100x,rxn05327,MNXR68768,,1.3.1.9,"['h[c]', 'nadh[c]', 'tdec2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-Dec-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1087,EAR10M11x,rxn05448,MNXR27722,,1.3.1.9,"['10mtundec2eACP[c]', 'h[c]', 'nadh[c]']","['10-methyl-trans-undec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1088,EAR10M12x,rxn05436,MNXR27710,,1.3.1.9,"['10mtddec2eACP[c]', 'h[c]', 'nadh[c]']","['10-methyl-trans-dodec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1089,EAR11M12x,rxn05442,MNXR27716,,1.3.1.9,"['11mtddec2eACP[c]', 'h[c]', 'nadh[c]']","['11-methyl-trans-dodec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1090,EAR120x,rxn05324,MNXR68770,,1.3.1.9,"['h[c]', 'nadh[c]', 'tddec2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-Dodec-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1091,EAR12M13x,rxn05449,MNXR27723,,1.3.1.9,"['12mttritec2eACP[c]', 'h[c]', 'nadh[c]']","['12-methyl-trans-tridec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1092,EAR12M14x,rxn05437,MNXR27711,,1.3.1.9,"['12mtmrs2eACP[c]', 'h[c]', 'nadh[c]']","['12-methyl-trans-tetra-dec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1093,EAR13M14x,rxn05443,MNXR27717,,1.3.1.9,"['13mtmrs2eACP[c]', 'h[c]', 'nadh[c]']","['13-methyl-trans-tetra-dec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1094,EAR140x,rxn05323,MNXR68773,,1.3.1.9,"['h[c]', 'nadh[c]', 'tmrs2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-Tetradec-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1095,EAR14M15x,rxn05450,MNXR27724,,1.3.1.9,"['14mtpentdec2eACP[c]', 'h[c]', 'nadh[c]']","['14-methyl-trans-pentadec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1096,EAR14M16x,rxn05438,MNXR27712,,1.3.1.9,"['14mtpalm2eACP[c]', 'h[c]', 'nadh[c]']","['14-methyl-trans-hexa-dec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1097,EAR15M16x,rxn05444,MNXR27718,,1.3.1.9,"['15mtpalm2eACP[c]', 'h[c]', 'nadh[c]']","['15-methyl-trans-hexa-dec-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1098,EAR160x,rxn05328,MNXR74372,,1.3.1.9,"['h[c]', 'nadh[c]', 'tpalm2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-Hexadec-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1099,EAR180x,rxn05464,MNXR27738,,1.3.1.9,"['h[c]', 'nadh[c]', 'toctd2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-octadec-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1100,EAR40x,rxn05322,,,1.3.1.9,"['but2eACP[c]', 'h[c]', 'nadh[c]']","['But-2-enoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1101,EAR4M5x,rxn05445,MNXR27719,,1.3.1.9,"['4mtpent2eACP[c]', 'h[c]', 'nadh[c]']","['4-methyl-trans-pent-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1102,EAR4M6x,rxn05433,MNXR27707,,1.3.1.9,"['4mthex2eACP[c]', 'h[c]', 'nadh[c]']","['4-methyl-trans-hex-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1103,EAR5M6x,rxn05439,MNXR27713,,1.3.1.9,"['5mthex2eACP[c]', 'h[c]', 'nadh[c]']","['5-methyl-trans-hex-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1104,EAR60x,rxn05326,MNXR68780,,1.3.1.9,"['h[c]', 'nadh[c]', 'thex2eACP[c]']","['proton', 'Nicotinamide adenine dinucleotide - reduced', 'trans-Hex-2-enoyl-[acyl-carrier protein]']","['[H+]', None, None]"
1105,EAR6M7x,rxn05446,MNXR27720,,1.3.1.9,"['6mthept2eACP[c]', 'h[c]', 'nadh[c]']","['6-methyl-trans-hept-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
1106,EAR6M8x,rxn05434,MNXR27708,,1.3.1.9,"['6mtoct2eACP[c]', 'h[c]', 'nadh[c]']","['6-methyl-trans-oct-2-enoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","[None, '[H+]', None]"
