,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,KEGG_id2,BIGG_id,Substrates,Substrate Name,Substrate SMILE,ecNumber
245,AC_AMN_B_GLY_GLCtex,Acetyl 4-Aminobenzoylglycine Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['ac_amn_b_gly_glc[e]'],['Acetyl 4-Aminobenzoylglycine Glucuronide'],[None],None
246,AC_AMN_B_GLYtex,Acetyl 4-Aminobenzoylglycine diffusion extracellular to periplasm,None,None,None,None,None,['ac_amn_b_gly[e]'],['Acetyl 4-Aminobenzoylglycine'],[None],None
247,ACt2rpp,"Acetate Reversible Transport via Proton Symport, periplasmatic",None,None,None,None,None,"['ac[p]', 'h[p]']","['Acetate', 'proton']","['CC(=O)[O-]', '[H+]']",None
248,ACtex,acetate diffusion extracellular to periplasm,None,None,None,None,None,['ac[e]'],['Acetate'],['CC(=O)[O-]'],None
249,ADCL,4-aminobenzoate synthase,rxn03841,MNXR467,None,R05553,ADCL; U88,['4adcho[c]'],['4-amino-4-deoxychorismate'],['C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]'],"[['4.1.3.38'], None]"
250,ADCS,4-amino-4-deoxychorismate synthase,rxn01257,MNXR30623,None,R01716,ABZ1; ADCS,"['chor[c]', 'gln_L[c]']","['chorismate', 'L-glutamine']","['C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O', 'C(CC(=O)N)C(C(=O)O)N']","[None, ['2.6.1.85']]"
251,ADK1,Adenylate Kinase,rxn00097,MNXR95450,R00127,R00127,ADK1; ADK1_1; ADK1m; ADK2_1,"['amp[c]', 'atp[c]']","['AMP', 'ATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']","[['2.7.4.3'], None, ['2.7.4.3'], None]"
252,ADK10,adenylate kinase (dTTP),None,None,None,None,None,"['amp[c]', 'dttp[c]']","['AMP', 'dTTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']",None
253,ADK11,adenylate kinase (dUTP),None,None,None,None,None,"['amp[c]', 'dutp[c]']","['AMP', 'dUTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']",None
254,ADK2,adenylate kinase (Inorganic triphosphate),rxn10052,MNXR480,None,None,ADK2,"['amp[c]', 'pppi[c]']","['AMP', 'triphosphate(5-)']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', '[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]']",[['2.7.4.3']]
255,ADK3,Adentylate Kinase (GTP),rxn08066,MNXR95452,None,None,ADK1_2; ADK2_2; ADK3; ADK3m,"['amp[c]', 'gtp[c]']","['AMP', 'GTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N']","[None, None, ['2.7.4.10', '2.7.4.4'], ['2.7.4.10', '2.7.4.4']]"
256,ADK5,adenylate kinase (CTP),None,None,None,None,None,"['amp[c]', 'ctp[c]']","['AMP', 'CTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O']",None
257,ADK7,adenylate kinase (dATP),None,None,None,None,None,"['amp[c]', 'datp[c]']","['AMP', 'dATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']",None
258,ADK8,adenylate kinase (dCTP),None,None,None,None,None,"['amp[c]', 'dctp[c]']","['AMP', 'dCTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']",None
259,ADK9,adenylate kinase (dGTP),None,None,None,None,None,"['amp[c]', 'dgtp[c]']","['AMP', 'dGTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']",None
260,ADMDCr,Adenosylmethionine Decarboxylase,rxn00127,MNXR484,None,R00178,ADMDC; ADMDCr; SPE2,"['amet[c]', 'h[c]']","['S-Adenosyl-L-methionine', 'proton']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', '[H+]']","[['4.1.1.50'], ['4.1.1.50'], None]"
261,ADNCNT3tcpp,"Adenosine Transport Cnt3, periplasmatic",None,None,None,None,None,"['adn[p]', 'h[p]']","['Adenosine', 'proton']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', '[H+]']",None
262,ADNUC,adenosine hydrolase,rxn00927,MNXR68287,None,R01245,ADNUC; PNS1; URH1_2,"['adn[c]', 'h2o[c]']","['Adenosine', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', 'O']","[['3.2.2.1', '3.2.2.7', '3.2.2.8'], ['3.2.2.1', '3.2.2.7', '3.2.2.8'], None]"
263,ADNtex,Adenosine diffusion extracellular to periplasm,None,None,None,None,None,['adn[e]'],['Adenosine'],['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N'],None
264,ADOCBIK2,Adenosyl cobinamide kinase (GTP),rxn04413,MNXR85460,None,R06558,None,"['adocbi[c]', 'gtp[c]']","['Adenosyl cobinamide', 'GTP']","['CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N']",2.7.1.156
265,ADOCBLS,Adenosylcobalamin 5-phosphate synthase,rxn03538,MNXR81563,None,R05223,ADOCBLS; COBPS,"['agdpcbi[c]', 'rdmbzi[c]']","['Adenosine-GDP-cobinamide', 'N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole']","['CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)OP(=O)(O)OP(=O)(O)OCC6C(C(C(O6)N7C=NC8=C7N=C(NC8=O)N)O)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O']","[['2.7.8.26'], None]"
266,ADOCBLabcpp,"Adenosylcobalamin transport via ABC system, periplasmatic",None,None,None,None,None,"['adocbl[p]', 'atp[c]', 'h2o[c]']","['Adenosylcobalamin', 'ATP', 'Water']","['CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']",None
267,ADOCBLtex,Adenosylcobalamin diffusion extracellular to periplasm,None,None,None,None,None,['adocbl[e]'],['Adenosylcobalamin'],['CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]'],None
268,ADPT,Adenine Phosphoribosyltransferase,rxn00139,MNXR95482,R00190,R00190,ADPT; APT1; APT2,"['ade[c]', 'prpp[c]']","['Adenine', '5-Phospho-alpha-D-ribose 1-diphosphate']","['C1=NC2=NC=NC(=C2N1)N', 'C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O']","[['2.4.2.7', '2.4.2.8'], None, None]"
269,ADSELK,Adenylyl-Selenate Kinase,rxn03372,MNXR68294,None,R04928,None,"['adsel[c]', 'atp[c]']","['Adenylylselenate', 'ATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']",2.7.1.25
270,ADSK,Adenylyl-Sulfate Kinase,rxn00361,MNXR95159,R00509,R00509,ADSK; ADSKr; MET14,"['aps[c]', 'atp[c]']","['5-adenylyl sulfate(2-)', 'ATP']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']","[['2.7.1.25'], ['2.7.1.25'], None]"
271,ADSL1r,adenylsuccinate lyase,rxn00800,MNXR95493,R01083,R01083,ADE13_2; ADSL1; ADSL1r,['dcamp[c]'],"['N6-(1,2-Dicarboxyethyl)-AMP']",['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O'],"[None, ['4.3.2.2'], ['4.3.2.2']]"
272,ADSL2r,adenylosuccinate lyase,rxn03136,MNXR95494,None,R04559,ADE13_1; ADSL2; ADSL2r,['25aics[c]'],['(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate'],['C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)NC(CC(=O)O)C(=O)O'],"[None, ['4.3.2.2'], ['4.3.2.2']]"
273,ADSS,Adenylosuccinate Synthase,rxn00838,MNXR95495,R01135,R01135,ADE12; ADSS; ADSS_i,"['asp_L[c]', 'gtp[c]', 'imp[c]']","['L-aspartate', 'GTP', 'IMP']","['C(C(C(=O)O)N)C(=O)O', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N', 'C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O']","[None, ['6.3.4.4'], ['6.3.4.4']]"
274,AEPPT,2 aminoethylphosphonate pyruvate transaminase,rxn02900,MNXR8053,None,R04152,2AEPPNAT; 2AMIPYT,"['2ameph[c]', 'pyr[c]']","['(2-Aminoethyl)phosphonate', 'Pyruvate']","['C(CP(=O)(O)O)N', 'CC(=O)C(=O)[O-]']","[None, None]"
275,AGDC,N-Acetylglucosamine-6-Phosphate Deacetylase,rxn01484,MNXR95528,R02059,R02059,AGDC; AGDC_r,"['acgam6p[c]', 'h2o[c]']","['N-acetyl-D-glucosamine 6-phosphate(2-)', 'Water']","['CC(=O)NC1C(C(C(OC1O)COP(=O)([O-])[O-])O)O', 'O']","[['3.5.1.25'], ['3.5.1.25']]"
276,AGDC2,N-acetylgalactosamine-6-phosphate amidohydrolase,rxn03504,None,None,R05168,None,"['acgal6p[c]', 'h2o[c]']","['N-Acetyl-D-galactosamine 6-phosphate', 'Water']","['CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O', 'O']",3.5.1.25
277,AGMD,Agmantine deiminase,rxn01029,MNXR81576,None,R01416,AGMTNDMN,"['agm[c]', 'h2o[c]']","['agmatinium(2+)', 'Water']","['C(CC[NH+]=C(N)N)C[NH3+]', 'O']",[None]
278,AGMHE,ADP-D-glycero-D-manno-heptose epimerase,rxn03511,MNXR74422,None,R05176,None,['adphep_DD[c]'],['ADP-D-glycero-D-manno-heptose'],['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)C(CO)O)O)O)O)O)O)N'],5.1.3.20
279,AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),rxn08083,MNXR68311,None,None,AGPAT120,"['1ddecg3p[c]', 'ddcaACP[c]']","['1-acyl-sn-glycerol 3-phosphate(2-)', 'Dodecanoyl-ACP (n-C12:0ACP)']","[None, None]",[['2.3.1.51']]
280,AGPAT140,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0),rxn08084,MNXR81582,None,None,AGPAT140,"['1tdecg3p[c]', 'myrsACP[c]']","['1-tetradecanoyl-sn-glycerol 3-phosphate', 'Myristoyl-ACP (n-C14:0ACP)']","['CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O', None]",[['2.3.1.51']]
281,AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),rxn08085,MNXR68313,None,None,AGPAT141,"['1tdec7eg3p[c]', 'tdeACP[c]']","['1-tetradec-7-enoyl-sn-glycerol 3-phosphate', 'cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)']","[None, None]",[['2.3.1.51']]
282,AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),rxn08086,MNXR81583,None,None,AGPAT160,"['1hdecg3p[c]', 'palmACP[c]']","['1-hexadecanoyl-sn-glycerol 3-phosphate', 'Palmitoyl-ACP (n-C16:0ACP)']","[None, None]",[['2.3.1.51']]
283,AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),rxn08087,MNXR81585,None,None,AGPAT161,"['1hdec9eg3p[c]', 'hdeACP[c]']","['1-hexadec-9-enoyl-sn-glycerol 3-phosphate', 'cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)']","[None, None]",[['2.3.1.51']]
284,AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),rxn08088,MNXR81586,None,None,AGPAT180,"['1odecg3p[c]', 'ocdcaACP[c]']","['1-octadecanoyl-sn-glycerol 3-phosphate', 'Octadecanoyl-ACP (n-C18:0ACP)']","['CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O', None]",[['2.3.1.51']]
285,AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),rxn08089,MNXR81588,None,None,AGPAT181,"['1odec11eg3p[c]', 'octeACP[c]']","['1-octadec-11-enoyl-sn-glycerol 3-phosphate', 'cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)']","[None, None]",[['2.3.1.51']]
286,AGPR,N-acetyl-g-glutamyl-phosphate reductase,rxn02465,MNXR571,None,R03443,AGPR; AGPRim,"['acg5sa[c]', 'nadp[c]', 'pi[c]']","['2-acetamido-5-oxopentanoate', 'Nicotinamide adenine dinucleotide phosphate', 'hydrogenphosphate']","['CC(=O)NC(CCC=O)C(=O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N', 'OP(=O)([O-])[O-]']","[['1.2.1.38'], ['1.2.1.38']]"
287,AHC,Adenosylhomocysteinase,rxn00141,MNXR578,None,R00192,AHC; AHCi; SAH1,"['ahcys[c]', 'h2o[c]']","['S-Adenosyl-L-homocysteine', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N', 'O']","[['3.3.1.1'], ['3.3.1.1'], None]"
288,AHCYSNS_r,S-adenosylhomocysteine nucleosidase reversible,rxn00143,MNXR579,None,R00194,AHCYSNS,"['ahcys[c]', 'h2o[c]']","['S-Adenosyl-L-homocysteine', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N', 'O']",[['3.2.2.9']]
289,AHEXASE3,Hexosaminidase,rxn00016,MNXR5635,None,R00022,HXAD,"['chtbs[c]', 'h2o[c]']","['N,N-diacetylchitobiose', 'Water']","['CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O', 'O']",[['3.2.1.52']]
290,AHSERL3,O-Acetyl-L-homoserine acetate-lyase,rxn06078,MNXR93985,None,R02026,None,"['achms[c]', 'trdrd[c]', 'tsul[c]']","['O-Acetyl-L-homoserine', 'Reduced thioredoxin', 'thiosulfate(2-)']","['CC(=O)OCCC(C(=O)O)N', None, '[O-]S(=O)(=S)[O-]']",2.5.1.49
291,AICART,Phosphoribosylaminoimidazolecarboxamide Formyltransferase,rxn03137,MNXR95639,R04560,R04560,ADE16_1; ADE17_1; AICART,"['10fthf[c]', 'aicar[c]']","['10-Formyltetrahydrofolate', '5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide']","['C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O', 'C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N']","[None, None, ['2.1.2.3']]"
292,AIHPDCOATA,14-methyl-hexa-decanoyl-ACP[acyl-carrier-protein] transferase,rxn05452,MNXR53361,None,None,None,"['14mpalmACP[c]', 'coa[c]']","['14-methyl-hexa-decanoyl-ACP', 'Coenzyme A']","[None, 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']",2.3.1.180
293,AIPDCOATA,12-methyl-tetra-decanoyl-ACP[acyl-carrier-protein] transferase,rxn05451,MNXR53360,None,None,None,"['12mmyrsACP[c]', 'coa[c]']","['12-methyl-tetra-decanoyl-ACP', 'Coenzyme A']","[None, 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']",2.3.1.180
294,AIRC4,Phosphoribosylaminoimidazole carboxylase,rxn05229,MNXR79878,None,None,None,"['air[c]', 'atp[c]', 'hco3[c]']","['5-amino-1-(5-phospho-D-ribosyl)imidazole', 'ATP', 'Bicarbonate']","['C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(=O)(O)[O-]']",4.1.1.21
295,AKP1,alkaline phosphatase (Dihydroneopterin),rxn03167,MNXR603,None,R04620,AKP1; PHO8,"['ahdt[c]', 'h2o[c]']","['7,8-dihydroneopterin 3-triphosphate(4-)', 'Water']","[None, 'O']","[['3.1.3.1'], None]"
296,ALAALA,D-alanine--D-alanine ligase (EC 6.3.2.4),rxn00851,MNXR614,None,R01150,ALAALA; ALAALAr,"['ala_D[c]', 'atp[c]']","['D-alanine', 'ATP']","['CC(C(=O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']","[['6.3.2.4'], ['6.3.2.4']]"
297,ALAASP1c,Hydrolysis of L-alanyl-L-aspartate,rxn12633,MNXR63966,None,None,MEAMP1(ala-asp),"['alaasp[c]', 'h2o[c]']","['L-alanyl-L-aspartate', 'Water']","['CC(C(=O)NC(CC(=O)[O-])C(=O)[O-])[NH3+]', 'O']",[None]
298,ALACI,(S)-2-Acetolactate isomerase,rxn02187,MNXR74397,None,R03052,None,['alac_S[c]'],['(S)-2-Acetolactate'],['CC(=O)C(C)(C(=O)O)O'],"5.4.99.3,1.1.1.86"
299,ALAD_L,L-alanine dehydrogenase,None,None,None,None,None,"['ala_L[c]', 'h2o[c]', 'nad[c]']","['L-alanine', 'Water', 'Nicotinamide adenine dinucleotide']","['CC(C(=O)O)N', 'O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']",1.4.1.1
300,ALAGLN1c,Hydrolysis of L-alanyl-L-glutamine,rxn12639,MNXR63967,None,None,MEAMP1(ala-gln),"['alagln[c]', 'h2o[c]']","['L-alanyl-L-glutamine', 'Water']","['CC(C(=O)NC(CCC(=O)N)C(=O)O)N', 'O']",[None]
301,ALAGLU1c,Hydrolysis of L-alanyl-L-glutamate,rxn12640,MNXR46338,None,None,MEAMP1(ala-glu),"['alaglu[c]', 'h2o[c]']","['L-alanyl-L-glutamate', 'Water']","['CC(C(=O)NC(CCC(=O)O)C(=O)O)N', 'O']",[None]
302,ALAGLY1c,Hydrolysis of L-alanylglycine,rxn12641,MNXR63968,None,None,MEAMP1(ala-gly),"['alagly[c]', 'h2o[c]']","['L-alanylglycine', 'Water']","['CC(C(=O)NCC(=O)O)N', 'O']",[None]
303,ALAHIS1c,Hydrolysis of L-alanyl-L-histidine,rxn12642,MNXR63969,None,None,MEAMP1(ala-his),"['alahis[c]', 'h2o[c]']","['L-alanyl-L-histidine', 'Water']","['CC(C(=O)NC(CC1=CN=CN1)C(=O)O)N', 'O']",[None]
304,ALALEU1c,Hydrolysis of L-alanyl-L-leucine,rxn12643,MNXR14387,None,None,MEAMP1(ala-leu),"['alaleu[c]', 'h2o[c]']","['L-alanyl-L-leucine', 'Water']","['CC(C)CC(C(=O)O)NC(=O)C(C)N', 'O']",[None]
305,ALAR,Alanine Racemase,rxn00283,MNXR95693,R00401,R00401,ALAR; ALARi,['ala_L[c]'],['L-alanine'],['CC(C(=O)O)N'],"[['5.1.1.1'], ['5.1.1.1']]"
306,ALAS,5-aminolevulinate synthase,rxn00599,MNXR628,None,R00830,ALASm; HEM1,"['gly[c]', 'h[c]', 'succoa[c]']","['Glycine', 'proton', 'Succinyl-CoA']","['C(C(=O)O)N', '[H+]', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O']","[['2.3.1.37'], None]"
307,ALATA_L,L-Alanine Transaminase,rxn00191,MNXR95698,R00258,R00258,ALATA_L; ALATA_Lm; YDR111C; YLR089C,"['akg[c]', 'ala_L[c]']","['2-Oxoglutarate', 'L-alanine']","['C(CC(=O)O)C(=O)C(=O)O', 'CC(C(=O)O)N']","[['2.6.1.2'], ['2.6.1.2'], None, None]"
308,ALATHR1c,Hydrolysis of L-alanyl-L-threonine,rxn12644,MNXR80879,None,None,MEAMP1(ala-thr),"['alathr[c]', 'h2o[c]']","['L-alanyl-L-threonine', 'Water']","['CC(C(C(=O)O)NC(=O)C(C)N)O', 'O']",[None]
309,ALCD19,alcohol dehydrogenase (glycerol),rxn00763,MNXR68334,None,R01036,ALCD19,"['glyald[c]', 'h[c]', 'nadh[c]']","['D-Glyceraldehyde', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['C(C(C=O)O)O', '[H+]', None]","[['1.1.1.21', '1.1.1.72']]"
310,ALCD2x,alcohol dehydrogenase (ethanol),rxn00543,MNXR95725,R00754,R00754,ADH1; ADH2; ADH3; ADH4; ADH5; ALCD1; ALCD2if; ALCD2ir; ALCD2irm; ALCD2m; ALCD2x; SFA1_2,"['etoh[c]', 'nad[c]']","['Ethanol', 'Nicotinamide adenine dinucleotide']","['CCO', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']","[None, None, None, None, None, ['1.1.1.244'], ['1.1.1.1', '1.1.1.71'], ['1.1.1.1', '1.1.1.71'], ['1.1.1.1', '1.1.1.71'], ['1.1.1.1', '1.1.1.71'], ['1.1.1.1', '1.1.1.71'], None]"
311,ALKP,Alkaline Phosphatase,rxn00743,MNXR662,None,R01010,ALKP; ALKPr,"['dhap[c]', 'h2o[c]']","['Dihydroxyacetone phosphate', 'Water']","['C(C(=O)COP(=O)(O)O)O', 'O']","[['3.1.3', '3.1.3.1', '3.1.3.2'], ['3.1.3', '3.1.3.1', '3.1.3.2']]"
312,ALKP_R788epp,"Glycerone Phosphate Phosphohydrolase (Fostamatinib), periplasmatic",None,None,None,None,None,"['o2[p]', 'r788[p]']","['O2', 'R788 (Fostamatinib)']","['O=O', 'CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C']",None
313,ALPZ_4OH_GLC_GLCAASEepp,"4-Hydroxyalprazolam Glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,"['alpz_4oh_glc[p]', 'h2o[p]']","['4-Hydroxyalprazolam Glucuronide', 'Water']","[None, 'O']",None
314,ALPZ_4OH_GLCtex,4-Hydroxyalprazolam Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['alpz_4oh_glc[e]'],['4-Hydroxyalprazolam Glucuronide'],[None],None
315,ALPZ_4OHtex,4-Hydroxyalprazolam diffusion extracellular to periplasm,None,None,None,None,None,['alpz_4oh[e]'],['4-Hydroxyalprazolam'],['CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4'],None
316,ALPZ_AOH_GLC_GLCAASEepp,"Alpha-Hydroxyalprazolam Glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,"['alpz_aoh_glc[p]', 'h2o[p]']","['Alpha-Hydroxyalprazolam Glucuronide', 'Water']","['C1C2=NN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4)COC5C(C(C(C(O5)C(=O)O)O)O)O', 'O']",None
317,ALPZ_AOH_GLCtex,Alpha-Hydroxyalprazolam Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['alpz_aoh_glc[e]'],['Alpha-Hydroxyalprazolam Glucuronide'],['C1C2=NN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4)COC5C(C(C(C(O5)C(=O)O)O)O)O'],None
