organism,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,platform,species,file,ncbiid,kbaseid,seedid,taxa_id,imgid,phenotype,id,summary_rank
Lactobacillus curvatus CRL 705,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,509.0,1057.0,843.0,Laura Kutt,04/18/16,ModelSEED,curvatus,curvatus.json,1074451.0,kb|g.23895,,28038.0,,,curvatus,species
Campylobacter curvus 525.92,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Microaerophile/ anaerobe,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,517.0,1027.0,820.0,Eugen Bauer,08/03/14,ModelSEED,curvus,curvus.json,360105.0,,Campylobacter curvus 525.92 (360105.8),200.0,640753010.0,1.0,curvus,species
Eubacterium cylindroides T2-87,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,463.0,994.0,778.0,chenry,09/10/14,Kbase,cylindroides,cylindroides.json,717960.0,kb|g.3100,Eubacterium cylindroides T2-87 (717960.3),39483.0,650377935.0,,cylindroides,species
Paenibacillus daejeonensis DSM 15491,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Facultative anaerobe,"Saccharolytic, fermentative",Variable,,1233.0,1509.0,1152.0,Laura Kutt,04/18/16,Kbase,daejeonensis,daejeonensis.json,1122917.0,kb|g.29647,Paenibacillus daejeonensis DSM 15491 (1122917.3),135193.0,,,daejeonensis,species
Cedecea davisae DSM 4568,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cedecea,Aerobe,Respiratory,Negative,,1258.0,2255.0,1525.0,Laura Kutt,04/18/16,ModelSEED,davisae,davisae.json,566551.0,kb|g.32230,Cedecea davisae DSM 4568 (566551.4),158484.0,2541046972.0,,davisae,species
Abiotrophia defectiva ATCC 49176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,Pathogen,631.0,2428.0,1250.0,Eugen Bauer,07/01/14,ModelSEED,defectiva,defectiva.json,592010.0,,Abiotrophia defectiva ATCC 49176 (592010.4),46125.0,2562617177.0,1.0,defectiva,species
,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,delbrueckii,delbrueckii.json,,,,1584.0,,,delbrueckii,species
,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Laura Kutt,,Kbase,denticola,denticola.json,,,,28129.0,,,denticola,species
Bifidobacterium dentium ATCC 27678,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,601.0,1060.0,844.0,Eugen Bauer,09/03/14,Kbase,dentium,dentium.json,473819.0,,Bifidobacterium dentium ATCC 27678 (473819.7),1689.0,641736189.0,1.0,dentium,species
Rothia dentocariosa ATCC 17931,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Microaerophile,Fermentative,Positive,Commensal,572.0,1115.0,891.0,chenry,04/15/16,Kbase,dentocariosa,dentocariosa.json,762948.0,kb|g.3274,Rothia dentocariosa ATCC 17931 (762948.3),2047.0,649633093.0,,dentocariosa,species
Eubacterium desmolans ATCC 43058,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Eubacterium,Obligate anaerobe,,Positive,,591.0,1145.0,955.0,Laura Kutt,04/18/16,Kbase,desmolans,desmolans.json,1408437.0,kb|g.241166,,39484.0,,,desmolans,species
Desulfovibrio desulfuricans subsp. desulfuricans DSM 642,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Facultative anaerobe,Fermentative,Negative,,717.0,1311.0,1026.0,Laura Kutt,04/18/16,Kbase,desulfuricans,desulfuricans.json,1121445.0,kb|g.207114,,876.0,2524614548.0,,desulfuricans,species
Succinivibrio dextrinosolvens H5,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Vibrionaceae,Succinivibrio,Facultative anaerobe,"Fermentative, respiratory",Negative,Pathogen,643.0,1130.0,943.0,Laura Kutt,04/19/16,Kbase,dextrinosolvens,dextrinosolvens.json,1410676.0,kb|g.244674,,83771.0,,,dextrinosolvens,species
,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,ModelSEED,difficile,difficile.json,,,,1496.0,,3.0,difficile,species
Brevundimonas diminuta 470-4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Obligate anaerobe,Respiratory,Negative,,754.0,1308.0,980.0,Laura Kutt,04/18/16,Kbase,diminuta,diminuta.json,1035191.0,kb|g.29103,Brevundimonas diminuta 470-4 (1035191.3),293.0,2531839707.0,,diminuta,species
,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,"Saccharolytic, fermentative, proteolytic",Negative,Commensal,,,,Laura Kutt,,Kbase,disiens,disiens.json,,,Prevotella disiens FB035-09AN (866771.4),28130.0,,,disiens,species
,Bacteria,Firmicutes,,,,,,"Saccharolytic, fermentative",,Commensal,,,,Laura Kutt,04/18/16,,dispar,dispar.json,,,,,2545824666.0,,dispar,species
Parabacteroides distasonis ATCC 8503,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,845.0,2519.0,1459.0,Eugen Bauer,08/03/14,Kbase,distasonis,distasonis.json,435591.0,,Parabacteroides distasonis ATCC 8503 (435591.13),823.0,640753039.0,3.0,distasonis,species
Eubacterium dolichum DSM 3991,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,516.0,1553.0,1046.0,Ines Thiele,09/06/12,Kbase,dolichum,dolichum.json,428127.0,,Eubacterium dolichum DSM 3991 (428127.7),,641380446.0,1.0,dolichum,species
Bacteroides dorei DSM 17855,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,792.0,1163.0,951.0,Ines Thiele,04/20/12,ModelSEED,dorei,dorei.json,483217.0,,Bacteroides dorei DSM 17855 (483217.6),357276.0,642979370.0,4.0,dorei,species
Enterococcus durans ATCC 6056,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,759.0,1197.0,901.0,Laura Kutt,04/18/16,Kbase,durans,durans.json,1140001.0,kb|g.29871,Enterococcus durans ATCC 6056 (1140001.3),53345.0,2545824655.0,,durans,species
Corynebacterium durum F0235,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,673.0,1204.0,967.0,chenry,04/15/16,ModelSEED,durum,durum.json,1035195.0,kb|g.29106,Corynebacterium durum F0235 (1035195.3),61592.0,2537561950.0,,durum,species
Shigella dysenteriae Sd197,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Facultative anaerobe,"fermentative, respiratory",Negative,,1186.0,1691.0,1163.0,,,Kbase,dysenteriae,dysenteriae.json,300267.0,kb|g.231,Shigella dysenteriae Sd197 (300267.13),622.0,,,dysenteriae,species
Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,640.0,1161.0,895.0,Laura Kutt,04/18/16,ModelSEED,dysgalactiae,dysgalactiae.json,663952.0,kb|g.2862,Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957 (663952.3),1334.0,2545824515.0,,dysgalactiae,species
,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,Kbase,eggerthii,eggerthii.json,,,,28111.0,,4.0,eggerthii,species
Granulicatella elegans ATCC 700633,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,522.0,1026.0,808.0,Laura Kutt,04/18/16,ModelSEED,elegans,elegans.json,626369.0,kb|g.2649,Granulicatella elegans ATCC 700633 (626369.3),137732.0,647533172.0,,elegans,species
Eubacterium eligens ATCC 27750,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,658.0,1175.0,960.0,Laura Kutt,04/18/16,Kbase,eligens,eligens.json,515620.0,kb|g.1895,Eubacterium eligens ATCC 27750 (515620.4),39485.0,644736366.0,,eligens,species
Bradyrhizobium elkanii USDA 76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Obligate aerobe,Respiratory,Negative,,1738.0,1621.0,1229.0,Laura Kutt,04/18/16,Kbase,elkanii,elkanii.json,398525.0,kb|g.32186,Bradyrhizobium elkanii USDA 76 (398525.3),29448.0,,,elkanii,species
Neisseria elongata subsp. glycolytica ATCC 29315,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Aerobe,"Oxidative, non-fermentative",Negative,,719.0,1167.0,914.0,Laura Kutt,04/18/16,ModelSEED,elongata,elongata.json,546263.0,kb|g.2182,Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3),495.0,647000283.0,,elongata,species
Megasphaera elsdenii DSM 20460,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Obligate anaerobe,"Saccharolytic, fermentative, lactate fermented to propionate",Negative,Commensal,649.0,1206.0,947.0,chenry,09/10/14,ModelSEED,elsdenii,elsdenii.json,1064535.0,,,907.0,2511231071.0,,elsdenii,species
Porphyromonas endodontalis ATCC 35406,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Obligate anaerobe,Asaccharolytic,Negative,,462.0,974.0,795.0,chenry,04/15/16,Kbase,endodontalis,endodontalis.json,553175.0,kb|g.2242,Porphyromonas endodontalis ATCC 35406 (553175.3),28124.0,643886148.0,,endodontalis,species
Bacillus endophyticus 2102,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1440.0,1733.0,1226.0,Laura Kutt,04/17/16,Kbase,endophyticus,endophyticus.json,1196029.0,kb|g.25385,Bacillus endophyticus 2102 (1196029.3),135735.0,2551306099.0,,endophyticus,species
Prevotella enoeca  JCM 12259,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,552.0,951.0,820.0,chenry,04/15/16,Kbase,enoeca,enoeca.json,1235815.0,kb|g.242258,,76123.0,2585427897.0,,enoeca,species
Salmonella enterica enterica sv Typhimurium LT2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Facultative anaerobe,"Fermentative or respiratory, variety of carbon sources used",Negative,Pathogen,1241.0,2361.0,1474.0,Ines Thiele,08/07/12,Kbase,enterica,enterica.json,1457319.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. (946034.3),28901.0,637000255.0,1.0,enterica,species
Yersinia enterocolitica subsp. enterocolitica 8081,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Facultative anaerobe,"Fermentative, respiratory",Negative,,1156.0,1687.0,1189.0,Laura Kutt,04/18/16,Kbase,enterocolitica,enterocolitica.json,393305.0,kb|g.26596,Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7),630.0,640069335.0,,enterocolitica,species
Staphylococcus epidermidis ATCC 12228,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,850.0,1393.0,1041.0,Laura Kutt,04/18/16,ModelSEED,epidermidis,epidermidis.json,176280.0,kb|g.165,Staphylococcus epidermidis ATCC 12228 (176280.1),1282.0,637000281.0,,epidermidis,species
,Bacteria,,,,,,,,Positive,,,,,,,ModelSEED,equi,equi.json,,,,,,,equi,species
Streptococcus equinus ATCC 9812,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,566.0,962.0,765.0,Ines Thiele,06/29/12,ModelSEED,equinus,equinus.json,525379.0,,Streptococcus equinus ATCC 9812 (525379.3),1335.0,649990006.0,4.0,equinus,species
Adlercreutzia equolifaciens DSM 19450,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,Commensal,590.0,942.0,813.0,chenry,09/09/14,Kbase,equolifaciens,equolifaciens.json,1384484.0,,,446660.0,2597489914.0,,equolifaciens,species
Staphylococcus equorum subsp. equorum Mu2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,943.0,1464.0,1089.0,Laura Kutt,04/18/16,Kbase,equorum,equorum.json,1159488.0,kb|g.24945,Staphylococcus equorum subsp. equorum Mu2 (1159488.5),246432.0,2529293016.0,,equorum,species
Rhodococcus erythropolis PR4,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Aerobe,Saccharolytic,Positive,Opportunistic pathogen,1414.0,1585.0,1152.0,,,Kbase,erythropolis,erythropolis.json,234621.0,kb|g.461,Rhodococcus erythropolis PR4 (234621.6),1833.0,,,erythropolis,species
Coprococcus eutactus ATCC 27759,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,601.0,1688.0,1172.0,Ines Thiele,04/20/12,ModelSEED,eutactus,eutactus.json,411474.0,,Coprococcus eutactus ATCC 27759 (411474.6),33043.0,641380422.0,5.0,eutactus,species
Cloacibacillus evryensis DSM 19522,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Obligate anaerobe,"Asaccharolytic, fermentative",Negative,,873.0,1214.0,993.0,Laura Kutt,04/19/16,ModelSEED,evryensis,evryensis.json,866499.0,kb|g.216301,,508460.0,,,evryensis,species
Parasutterella excrementihominis YIT 11859,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Suterellaceae,Parasutterella,Facultative anaerobe,"Fermentative, respiratory",Negative,,651.0,1080.0,912.0,Laura Kutt,04/19/16,ModelSEED,excrementihominis,excrementihominis.json,762966.0,kb|g.3277,Parasutterella excrementihominis YIT 11859 (762966.3),487175.0,651324084.0,,excrementihominis,species
Slackia exigua ATCC 700122,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Slackia,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,,542.0,1042.0,887.0,chenry,04/15/16,Kbase,exigua,exigua.json,649764.0,kb|g.2778,Slackia exigua ATCC 700122 (649764.3),84109.0,,,exigua,species
Bulleidia extructa W1219,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,367.0,934.0,742.0,Laura Kutt,04/18/16,ModelSEED,extructa,extructa.json,679192.0,kb|g.2936,Bulleidia extructa W1219 (679192.3),118748.0,647000218.0,,extructa,species
,Bacteria,,,,,,,,,,,,,,,Kbase,faecalis,faecalis.json,,,,,,,faecalis,species
Bacteroides faecis MAJ27,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,935.0,1223.0,980.0,chenry,04/15/16,Kbase,faecis,faecis.json,1077285.0,kb|g.23927,Bacteroides faecis MAJ27 (1077285.3),674529.0,2548876788.0,,faecis,species
Enterococcus faecium TX1330,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,705.0,1528.0,1049.0,Ines Thiele,09/06/12,ModelSEED,faecium,faecium.json,525279.0,,Enterococcus faecium TX1330 (525279.3),1352.0,643886120.0,2.0,faecium,species
Escherichia fergusonii ATCC 35469,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Facultative anaerobe,"Fermentative, respiratory",Negative,,1254.0,1787.0,1214.0,Laura Kutt,04/18/16,Kbase,fergusonii,fergusonii.json,585054.0,kb|g.2499,Escherichia fergusonii ATCC 35469 (585054.5),564.0,643692022.0,,fergusonii,species
,Bacteria,,,,,,,,Negative,,,,,Laura Kutt,04/17/16,,fermentans,fermentans.json,,,,,646311901.0,,fermentans,species
,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,,,,,,,fermentum,fermentum.json,,,,1613.0,,,fermentum,species
Campylobacter fetus subsp. fetus 82-40,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Microaerophile,"Non-fermentative, asaccharolytic",Negative,,597.0,1088.0,879.0,Laura Kutt,04/18/16,ModelSEED,fetus,fetus.json,360106.0,kb|g.1066,Campylobacter fetus subsp. fetus 82-40 (360106.5),196.0,639633016.0,,fetus,species
Butyrivibrio fibrisolvens 16/4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,721.0,1803.0,1224.0,Ines Thiele,06/25/12,Kbase,fibrisolvens,fibrisolvens.json,657324.0,,Butyrivibrio fibrisolvens 16/4 (657324.3),831.0,650377919.0,1.0,fibrisolvens,species
"Holdemania filiformis VPI J1-31B-1, DSM 12042",Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,721.0,1744.0,1113.0,Ines Thiele,09/06/12,ModelSEED,filiformis,filiformis.json,61171.0,,Holdemania filiformis DSM 12042 (545696.5),61171.0,643886103.0,3.0,filiformis,species
,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,,"Saccharolytic, fermentative",Negative,,,,,,,Kbase,finegoldii,finegoldii.json,,kb|g.27343,,,,,finegoldii,species
Bacillus firmus DS1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1107.0,1566.0,1140.0,Laura Kutt,04/17/16,ModelSEED,firmus,firmus.json,1307436.0,kb|g.209412,,1399.0,2568526233.0,,firmus,species
Curtobacterium flaccumfaciens UCD-AKU,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Obligate aerobe,Saccharolytic,Positive,,820.0,1319.0,1026.0,chenry,04/15/16,ModelSEED,flaccumfaciens,flaccumfaciens.json,1292022.0,kb|g.31863,Curtobacterium flaccumfaciens UCD-AKU (1292022.3),2035.0,2547132189.0,,flaccumfaciens,species
,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,Laura Kutt,,Kbase,flavefaciens,flavefaciens.json,,,,1265.0,,,flavefaciens,species
Neisseria flavescens SK114,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Aerobe,"Saccharolytic, non-fermentative",Negative,,703.0,1244.0,950.0,Laura Kutt,04/18/16,Kbase,flavescens,flavescens.json,596320.0,kb|g.2606,Neisseria flavescens SK114 (596320.3),484.0,645058784.0,,flavescens,species
Shigella flexneri 2002017,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Facultative anaerobe,"fermentative, respiratory",Negative,,1258.0,1756.0,1192.0,,,Kbase,flexneri,flexneri.json,591020.0,kb|g.2556,Shigella flexneri 2002017 (591020.3),623.0,,,flexneri,species
Bacillus flexus 27Col1.1E,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1305.0,1715.0,1214.0,Laura Kutt,04/17/16,ModelSEED,flexus,flexus.json,1292043.0,kb|g.209156,,86664.0,2522125133.0,,flexus,species
Pseudomonas fluorescens PfO-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Aerobe,Respiratory,Negative,,1286.0,1677.0,1228.0,,,Kbase,fluorescens,fluorescens.json,205922.0,kb|g.353,Pseudomonas fluorescens Pf0-1 (205922.5),294.0,,,fluorescens,species
,Bacteria,Proteobacteria,Gammaproteobacteria,,Vibrionaceae,Vibrio,Aerobe,Respiratory,Negative,,,,,Laura Kutt,06/09/16,,fluvialis,fluvialis.json,,,,676.0,2602041524.0,,fluvialis,species
Bacteroides fluxus YIT 12057,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,875.0,2421.0,1415.0,chenry,04/15/16,ModelSEED,fluxus,fluxus.json,763034.0,kb|g.3281,Bacteroides fluxus YIT 12057 (763034.3),626930.0,651324011.0,,fluxus,species
Serratia fonticola RB-25,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Facultative anaerobe,"Fermentative, respiratory",Negative,,1195.0,1756.0,1216.0,Laura Kutt,04/18/16,Kbase,fonticola,fonticola.json,1441930.0,kb|g.214943,,47917.0,2558860259.0,,fonticola,species
Bacillus fordii DSM 16014,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1166.0,1503.0,1123.0,Laura Kutt,04/17/16,Kbase,fordii,fordii.json,1121090.0,kb|g.29556,Bacillus fordii DSM 16014 (1121090.3),254759.0,,,fordii,species
"Marvinbryantia formatexigens I-52, DSM 14469",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,798.0,1996.0,1258.0,Ines Thiele,04/20/12,Kbase,formatexigens,formatexigens.json,168384.0,,Bryantella formatexigens DSM 14469 (478749.5),168384.0,2562617090.0,1.0,formatexigens,species
Dorea formicigenerans ATCC 27755,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,762.0,2072.0,1356.0,Laura Kutt,04/18/16,ModelSEED,formicigenerans,formicigenerans.json,411461.0,kb|g.1356,Dorea formicigenerans ATCC 27755 (411461.4),39486.0,641736133.0,,formicigenerans,species
,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Obligate anaerobe,"Asaccharolytic, uses oxalate as sole energy source",Negative,Probiotic,,,,Ines Thiele,06/25/12,ModelSEED,formigenes,formigenes.json,,,,847.0,,,formigenes,species
Tannerella forsythia ATCC 43037,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,Obligate anaerobe,Asaccharolytic,Negative,,585.0,1053.0,864.0,chenry,04/15/16,Kbase,forsythia,forsythia.json,28112.0,kb|g.26084,Tannerella forsythia ATCC 43037 (203275.8),28112.0,2512047036.0,,forsythia,species
Mycobacterium fortuitum subsp. fortuitum DSM 46621,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Microaerophile,,Positive,Opportunistic pathogen,1320.0,1521.0,1146.0,chenry,04/15/16,Kbase,fortuitum,fortuitum.json,1214102.0,kb|g.25575,Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3),1766.0,2519899744.0,,fortuitum,species
,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,fragilis,fragilis.json,,,,817.0,,,fragilis,species
Yersinia frederiksenii ATCC 33641,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Facultative anaerobe,"Fermentative, respiratory",Negative,,1287.0,1743.0,1212.0,Laura Kutt,04/18/16,Kbase,frederiksenii,frederiksenii.json,349966.0,kb|g.1009,Yersinia frederiksenii ATCC 33641 (349966.3),29484.0,638341239.0,,frederiksenii,species
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Aerotolerant,"Saccharolytic, fermentative",Positive,Probiotic,638.0,1180.0,931.0,chenry,09/10/14,Kbase,freudenreichii,freudenreichii.json,754252.0,kb|g.3231,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3),1744.0,649633084.0,,freudenreichii,species
,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Facultative anaerobe,"Fermentative, respiratory",Negative,,,,,Laura Kutt,,ModelSEED,freundii,freundii.json,,,Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3),546.0,,,freundii,species
Megamonas funiformis YIT 11815,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,811.0,1249.0,935.0,Laura Kutt,04/18/16,Kbase,funiformis,funiformis.json,742816.0,kb|g.27486,Megamonas funiformis YIT 11815 (742816.3),437897.0,2513237399.0,,funiformis,species
Vibrio furnissii NCTC 11218,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,1214.0,1679.0,1174.0,Laura Kutt,04/19/16,ModelSEED,furnissii,furnissii.json,903510.0,kb|g.3645,Vibrio furnissii NCTC 11218 (903510.3),29494.0,650377984.0,,furnissii,species
