,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,KEGG_id2,Substrate Name,Substrate SMILE
340,ACISNZDppp,"N-Acetylisoniazid permease, periplasmatic",None,None,None,None,None,['acisnzd[c]'],None,['N-Acetylisoniazid'],['CC(=O)NNC(=O)C1=CC=NC=C1']
341,ACISNZDtex,N-Acetylisoniazid diffusion extracellular to periplasm,None,None,None,None,None,['acisnzd[e]'],None,['N-Acetylisoniazid'],['CC(=O)NNC(=O)C1=CC=NC=C1']
342,ACKr,acetate kinase,rxn00225,MNXR390,None,2.7.2.1,ACKr,"['ac[c]', 'atp[c]']",R00315,"['Acetate', 'ATP']","['CC(=O)[O-]', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
343,ACLS,acetolactate synthase,rxn00003,MNXR68259,None,None,ILV2_2,"['h[c]', 'pyr[c]']",R00006,"['proton', 'Pyruvate']","['[H+]', 'CC(=O)C(=O)[O-]']"
344,ACLS_a,pyruvatethiamin diphosphate acetaldehydetransferase,rxn00011,MNXR73600,None,2.2.1.6,None,"['h[c]', 'pyr[c]', 'thmpp[c]']",R00014,"['proton', 'Pyruvate', 'Thiamine diphosphate']","['[H+]', 'CC(=O)C(=O)[O-]', 'CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O']"
345,ACLS_b,2-Acetolactate pyruvate-lyase (carboxylating),rxn02185,MNXR70454,None,2.2.1.6,None,"['alac_S[c]', 'thmpp[c]']",R03050,"['(S)-2-Acetolactate', 'Thiamine diphosphate']","['CC(=O)C(C)(C(=O)O)O', 'CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O']"
346,ACMPGLU_GLCAASE,Acetaminophen glucuronide beta-glucuronidase,None,None,None,None,None,"['acmpglu[c]', 'h2o[c]']",None,"['Acetaminophen glucuronide', 'Water']","['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O', 'O']"
347,ACMPGLUt2pp,"Glucuronate transport in via proton symport Acetaminophen glucuronide, periplasmatic",None,None,None,None,None,"['acmpglu[p]', 'h[p]']",None,"['Acetaminophen glucuronide', 'proton']","['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O', '[H+]']"
348,ACMPGLUtex,Acetaminophen glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['acmpglu[e]'],None,['Acetaminophen glucuronide'],['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O']
349,ACMP_GLC_GLCAASE,Acetaminophen Glucuronide beta-glucuronidase,None,None,None,None,None,"['acmp_glc[c]', 'h2o[c]']",None,"['Acetaminophen Glucuronide', 'Water']","['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O', 'O']"
350,ACMP_GLCt2pp,"Glucuronate transport in via proton symport Acetaminophen Glucuronide, periplasmatic",None,None,None,None,None,"['acmp_glc[p]', 'h[p]']",None,"['Acetaminophen Glucuronide', 'proton']","['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O', '[H+]']"
351,ACMP_GLCtex,Acetaminophen Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['acmp_glc[e]'],None,['Acetaminophen Glucuronide'],['CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O']
352,ACMPtepp,"beta-glucuronidase reaction product export Acetaminophen, periplasmatic",None,None,None,None,None,['acmp[c]'],None,['acetaminophen/ paracetamol'],[None]
353,ACMPtex,acetaminophen/ paracetamol diffusion extracellular to periplasm,None,None,None,None,None,['acmp[e]'],None,['acetaminophen/ paracetamol'],[None]
354,ACNAM9PL,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),rxn03064,MNXR95288,None,2.5.1.57,None,"['acmanap[c]', 'h2o[c]', 'pep[c]']",R04435,"['N-acetyl-D-mannosamine 6-phosphate(2-)', 'Water', 'Phosphoenolpyruvate']","['CC(=O)NC(C=O)C(C(C(COP(=O)([O-])[O-])O)O)O', 'O', 'C=C(C(=O)O)OP(=O)(O)O']"
355,ACNAMS,N-acetylneuraminate synthase,rxn01316,MNXR26433,None,"2.5.1.56,4.1.3.19",ACNPLYSr,"['acmana[c]', 'h2o[c]', 'pep[c]']",R01804,"['N-acetyl-D-mannosamine', 'Water', 'Phosphoenolpyruvate']","['CC(=O)NC1C(C(C(OC1O)CO)O)O', 'O', 'C=C(C(=O)O)OP(=O)(O)O']"
356,ACNML,N-Acetylneuraminate lyase,rxn01322,MNXR95296,R01811,4.1.3.3,ACGAMK; ACNML,['acnam[c]'],R01201; R01207; R01408; R01410; R01811,['N-acetylneuraminate'],['CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O']
357,ACOAAGPAT140,myristoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10212,MNXR94333,None,2.3.1.51,None,"['1tdecg3p[c]', 'tdcoa[c]']",None,"['1-tetradecanoyl-sn-glycerol 3-phosphate', 'Tetradecanoyl-CoA (n-C14:0CoA)']","['CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O', None]"
358,ACOAAGPAT160,palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10211,MNXR94332,None,2.3.1.51,None,"['1hdecg3p[c]', 'pmtcoa[c]']",None,"['1-hexadecanoyl-sn-glycerol 3-phosphate', 'Palmitoyl-CoA (n-C16:0CoA)']","[None, 'CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O']"
359,ACOAAGPAT180,stearoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10213,MNXR94334,None,2.3.1.51,None,"['1odecg3p[c]', 'stcoa[c]']",None,"['1-octadecanoyl-sn-glycerol 3-phosphate', 'Stearoyl-CoA (n-C18:0CoA)']","['CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O', None]"
360,ACOAAGPATAI15,anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10218,MNXR28675,None,2.3.1.51,None,"['1aipdecg3p[c]', 'aipdcoa[c]']",None,"['1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)', 'fa4coa,Anteiso-C15:0 CoA   Anteisopentadecanoyl-CoA']","[None, None]"
361,ACOAAGPATAI17,anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10214,MNXR28671,None,2.3.1.51,None,"['1aihpdecg3p[c]', 'aihpdcoa[c]']",None,"['1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)', 'fa12coa,Anteiso-C17:0 CoA   Anteisoheptadecanoyl-CoA']","[None, None]"
362,ACOAAGPATI14,isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10216,MNXR28673,None,2.3.1.51,None,"['1itdecg3p[c]', 'itdcoa[c]']",None,"['1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)', 'fa1coa,Iso-C14:0 CoA   Isotetradecanoyl-CoA']","[None, None]"
363,ACOAAGPATI15,isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10217,MNXR28674,None,2.3.1.51,None,"['1ipdecg3p[c]', 'ipdcoa[c]']",None,"['1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)', 'fa3coa,Iso-C15:0 CoA   Isopentadecanoyl-CoA']","[None, None]"
364,ACOAAGPATI16,isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10219,MNXR28676,None,2.3.1.51,None,"['1ihdecg3p[c]', 'ihdcoa[c]']",None,"['1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)', 'fa6coa,Iso-C16:0 CoA   Isohexadecanoyl-CoA']","[None, None]"
365,ACOAAGPATI17,isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10215,MNXR28672,None,2.3.1.51,None,"['1ihpdecg3p[c]', 'ihpdcoa[c]']",None,"['1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)', 'fa11coa, Iso-C17:0 CoA   Isoheptadecanoyl-CoA']","[None, None]"
366,ACOAD1,acyl-CoA dehydrogenase (butanoyl-CoA),rxn00868,MNXR410,None,1.3.8.1,ACOAD1,"['b2coa[c]', 'h[c]', 'nadh[c]']",R01171,"['crotonoyl-CoA(4-)', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', '[H+]', None]"
367,ACOAD20,"(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase",rxn02268,MNXR79601,None,1.3.8.1,None,"['2mbcoa[c]', 'o2[c]']",None,"['2-methylbutanoyl-CoA(4-)', 'O2']","['CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', 'O=O']"
368,ACOADH2,acyl-CoA dehydrogenase (Isobutiryl-CoA),rxn01923,MNXR428,None,1.3.8.1,None,"['ibcoa[c]', 'o2[c]']",None,"['isobutyryl-CoA(4-)', 'O2']","['CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', 'O=O']"
369,ACOASL,S-Alkyl-L-cysteine S-oxide alkyl-sulfenate-lyase,rxn06517,None,None,None,None,['sacysso[c]'],R03901,['S-Alkyl-L-cysteine S-oxide'],[None]
370,ACOATA,Acetyl Coenzyme A Acp Transacylase,rxn05349,MNXR35617,None,2.3.1.38,ACOATA; ACOATAm; FAS1_s,"['ACP[c]', 'accoa[c]']",R01624,"['acyl carrier protein', 'Acetyl-CoA']","[None, 'CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O']"
371,ACOCT,N-acetylornithine carbamoyltransferase,rxn05012,MNXR8742,None,2.1.3.9,None,"['acorn[c]', 'cbp[c]']",R07245,"['N(2)-acetyl-L-ornithine', 'Carbamoyl phosphate']","['CC(=O)NC(CCCN)C(=O)O', 'C(=O)(N)OP(=O)(O)O']"
372,ACODAr,"Acetylornithine deacetylase, reversible",rxn00469,MNXR30607,None,"3.5.1.14,3.5.1.16",None,"['acorn[c]', 'h2o[c]']",R00669,"['N(2)-acetyl-L-ornithine', 'Water']","['CC(=O)NC(CCCN)C(=O)O', 'O']"
373,ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",rxn00974,MNXR443,None,4.2.1.3,ACONTa,['cit[c]'],R01325,['Citrate'],['C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O']
374,ACONTb,"aconitase (half-reaction B, Isocitrate hydro-lyase)",rxn01388,MNXR30609,None,4.2.1.3,ACONTb,"['acon_C[c]', 'h2o[c]']",R01900,"['cis-Aconitate', 'Water']","['C(C(=CC(=O)O)C(=O)O)C(=O)O', 'O']"
375,ACOTA,acetylornithine transaminase,rxn01637,MNXR30610,None,2.6.1.11,ACOTA; ACOTAim; ARG8,"['acorn[c]', 'akg[c]']",R02283,"['N(2)-acetyl-L-ornithine', '2-Oxoglutarate']","['CC(=O)NC(CCCN)C(=O)O', 'C(CC(=O)O)C(=O)C(=O)O']"
376,ACP1_FMN_,Acid Phosphatase (FMN),rxn00391,MNXR68280,None,3.1.3.2,ACP1(FMN); ACP1_FMN; ACP1_FMN_; ACP1e; PHO11,"['fmn[c]', 'h2o[c]']",R00548,"['FMN', 'Water']","['CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O', 'O']"
377,ACPS1,acyl-carrier protein synthase,rxn06023,MNXR81542,None,2.7.8.7,None,"['apoACP[c]', 'coa[c]']",R01625,"['apoprotein [acyl carrier protein]', 'Coenzyme A']","[None, 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']"
378,ACPpds,[acyl-carrier-protein] phosphodiesterase,rxn06022,MNXR81549,None,3.1.4.14,None,"['ACP[c]', 'h2o[c]']",R01623,"['acyl carrier protein', 'Water']","[None, 'O']"
379,ACS,Acetyl Coenzyme A Synthetase,rxn00175,MNXR95413,R00235,6.2.1.1,ACS; ACS1; ACSm; ACSp; ACSr,"['ac[c]', 'atp[c]', 'coa[c]']",R00235,"['Acetate', 'ATP', 'Coenzyme A']","['CC(=O)[O-]', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']"
380,ACS2,Acetyl Coenzyme A Synthase (Propionate),rxn00674,MNXR95222,None,6.2.1.17,ACS2,"['atp[c]', 'coa[c]', 'ppa[c]']",R00925,"['ATP', 'Coenzyme A', 'Propionate']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O', 'CCC(=O)[O-]']"
381,ACTNR,(R)-Acetoin racemase,rxn02115,None,None,None,None,['actn_R[c]'],R02949,['(R)-Acetoin'],['CC(C(=O)C)O']
382,ACYP,Acylphosphatase,rxn01103,MNXR95410,R01515,3.6.1.7,ACYP,"['13dpg[c]', 'h2o[c]']",R01515,"['3-Phospho-D-glyceroyl phosphate', 'Water']","['C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O', 'O']"
383,ACYP_2,acylphosphatase (2),rxn00227,MNXR461,None,3.6.1.7,ACYP_2,"['actp[c]', 'h2o[c]']",R00317,"['Acetyl phosphate', 'Water']","['CC(=O)OP(=O)(O)O', 'O']"
384,AC_AMN_B_GLY_GLC_GLCAASE,Acetyl 4-Aminobenzoylglycine Glucuronide beta-glucuronidase,None,None,None,None,None,"['ac_amn_b_gly_glc[c]', 'h2o[c]']",None,"['Acetyl 4-Aminobenzoylglycine Glucuronide', 'Water']","[None, 'O']"
385,AC_AMN_B_GLY_GLCt2pp,"Glucuronate transport in via proton symport Acetyl 4-Aminobenzoylglycine Glucuronide, periplasmatic",None,None,None,None,None,"['ac_amn_b_gly_glc[p]', 'h[p]']",None,"['Acetyl 4-Aminobenzoylglycine Glucuronide', 'proton']","[None, '[H+]']"
386,AC_AMN_B_GLY_GLCtex,Acetyl 4-Aminobenzoylglycine Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['ac_amn_b_gly_glc[e]'],None,['Acetyl 4-Aminobenzoylglycine Glucuronide'],[None]
387,AC_AMN_B_GLYtepp,"beta-glucuronidase reaction product export Acetyl 4-Aminobenzoylglycine, periplasmatic",None,None,None,None,None,['ac_amn_b_gly[c]'],None,['Acetyl 4-Aminobenzoylglycine'],[None]
388,AC_AMN_B_GLYtex,Acetyl 4-Aminobenzoylglycine diffusion extracellular to periplasm,None,None,None,None,None,['ac_amn_b_gly[e]'],None,['Acetyl 4-Aminobenzoylglycine'],[None]
389,ACtex,acetate diffusion extracellular to periplasm,None,None,None,None,None,['ac[e]'],None,['Acetate'],['CC(=O)[O-]']
390,ACtrpp,"acetate transporter, periplasmatic",None,None,None,None,None,['ac[p]'],None,['Acetate'],['CC(=O)[O-]']
391,ADA,Adenosine Deaminase,rxn01137,MNXR95432,R01560,3.5.4.4,AAH1_1; ADA,"['adn[c]', 'h2o[c]', 'h[c]']",R01560,"['Adenosine', 'Water', 'proton']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', 'O', '[H+]']"
392,ADCL,4-aminobenzoate synthase,rxn03841,MNXR467,None,4.1.3.38,ADCL; U88,['4adcho[c]'],R05553,['4-amino-4-deoxychorismate'],['C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]']
393,ADCPS1,adenosylcobinamide-phosphate synthase,rxn05054,MNXR81553,None,6.3.1.10,None,"['adcobhex[c]', 'appl[c]', 'atp[c]']",R07302,"['adenosyl-cobyric acid', '1-Aminopropan-2-ol', 'ATP']","[None, 'CC(CN)O', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
394,ADCPS2,adenosylcobinamide-phosphate synthase,rxn04384,MNXR469,None,6.3.1.10,ADCOBAPS; ADCPS2,"['adcobhex[c]', 'applp[c]', 'atp[c]']",R06529,"['adenosyl-cobyric acid', 'D-1-Aminopropan-2-ol O-phosphate', 'ATP']","[None, 'CC(CN)OP(=O)(O)O', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
395,ADCS,4-amino-4-deoxychorismate synthase,rxn01257,MNXR30623,None,2.6.1.85,ABZ1; ADCS,"['chor[c]', 'gln_L[c]']",R01716,"['chorismate', 'L-glutamine']","['C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O', 'C(CC(=O)N)C(C(=O)O)N']"
396,ADD,adenine deaminase,rxn00926,MNXR95443,R01244,3.5.4.2,AAH1_3; ADD,"['ade[c]', 'h2o[c]', 'h[c]']",R01244,"['Adenine', 'Water', 'proton']","['C1=NC2=NC=NC(=C2N1)N', 'O', '[H+]']"
397,ADK1,Adenylate Kinase,rxn00097,MNXR95450,R00127,2.7.4.3,ADK1; ADK1_1; ADK1m; ADK2_1,"['amp[c]', 'atp[c]']",R00127,"['AMP', 'ATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
398,ADK10,adenylate kinase (dTTP),None,None,None,None,None,"['amp[c]', 'dttp[c]']",None,"['AMP', 'dTTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']"
399,ADK11,adenylate kinase (dUTP),None,None,None,None,None,"['amp[c]', 'dutp[c]']",None,"['AMP', 'dUTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']"
400,ADK2,adenylate kinase (Inorganic triphosphate),rxn10052,MNXR480,None,2.7.4.3,ADK2,"['amp[c]', 'pppi[c]']",None,"['AMP', 'triphosphate(5-)']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', '[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]']"
401,ADK3,Adentylate Kinase (GTP),rxn08066,MNXR95452,None,"2.7.4.10, 2.7.4.4",ADK1_2; ADK2_2; ADK3; ADK3m,"['amp[c]', 'gtp[c]']",None,"['AMP', 'GTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N']"
402,ADK5,adenylate kinase (CTP),None,None,None,None,None,"['amp[c]', 'ctp[c]']",None,"['AMP', 'CTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O']"
403,ADK7,adenylate kinase (dATP),None,None,None,None,None,"['amp[c]', 'datp[c]']",None,"['AMP', 'dATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']"
404,ADK8,adenylate kinase (dCTP),None,None,None,None,None,"['amp[c]', 'dctp[c]']",None,"['AMP', 'dCTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']"
405,ADK9,adenylate kinase (dGTP),None,None,None,None,None,"['amp[c]', 'dgtp[c]']",None,"['AMP', 'dGTP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N', 'C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O']"
406,ADMDC,Adenosylmethionine Decarboxylase,rxn00127,MNXR95455,R00178,4.1.1.50,ADMDC; ADMDCr; SPE2,"['amet[c]', 'h[c]']",R00178,"['S-Adenosyl-L-methionine', 'proton']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', '[H+]']"
407,ADNCNT3tcpp,"Adenosine Transport Cnt3, periplasmatic",None,None,None,None,None,"['adn[p]', 'h[p]']",None,"['Adenosine', 'proton']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', '[H+]']"
408,ADNCYC,Adenylate Cyclase,rxn00065,MNXR95444,R00089,4.6.1.1,ADNCYC; CYR1,['atp[c]'],R00089,['ATP'],['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']
409,ADNK1,Adenosine Kinase,rxn00134,MNXR95456,R00185,"2.7.1.20, 2.7.1.74",ADNK1; YJR105W,"['adn[c]', 'atp[c]']",R00185,"['Adenosine', 'ATP']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
410,ADNUC,adenosine hydrolase,rxn00927,MNXR68287,None,3.2.2.8,ADNUC; PNS1; URH1_2,"['adn[c]', 'h2o[c]']",R01245,"['Adenosine', 'Water']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N', 'O']"
411,ADNtex,Adenosine diffusion extracellular to periplasm,None,None,None,None,None,['adn[e]'],None,['Adenosine'],['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N']
412,ADOCBIK,Adenosyl cobinamide kinase,rxn03536,MNXR81559,None,2.7.1.156,ADCOBAK; ADOCBIK,"['adocbi[c]', 'atp[c]']",R05221,"['Adenosyl cobinamide', 'ATP']","['CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
413,ADOCBIK2,Adenosyl cobinamide kinase (GTP),rxn04413,MNXR85460,None,2.7.1.156,None,"['adocbi[c]', 'gtp[c]']",R06558,"['Adenosyl cobinamide', 'GTP']","['CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N']"
414,ADOCBLS,Adenosylcobalamin 5-phosphate synthase,rxn03538,MNXR81563,None,3.1.3.73,ADOCBLS; COBPS,"['agdpcbi[c]', 'rdmbzi[c]']",R05223,"['Adenosine-GDP-cobinamide', 'N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole']","['CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)OP(=O)(O)OP(=O)(O)OCC6C(C(C(O6)N7C=NC8=C7N=C(NC8=O)N)O)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O']"
415,ADOCBLabcpp,"Adenosylcobalamin transport via ABC system, periplasmatic",None,None,None,None,None,"['adocbl[p]', 'atp[c]', 'h2o[c]']",None,"['Adenosylcobalamin', 'ATP', 'Water']","['CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O']"
416,ADOCBLtex,Adenosylcobalamin diffusion extracellular to periplasm,None,None,None,None,None,['adocbl[e]'],None,['Adenosylcobalamin'],['CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]']
